
Nombre de imagen               PID Nombre de sesi�n N�m. de ses Uso de memor Estado          Nombre de usuario                                  Tiempo de CP T�tulo de ventana                                                       
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0         8 KB Unknown         NT AUTHORITY\SYSTEM                                    90:26:04 N/D                                                                     
SysInfoCap.exe                4348 Services                   0   116.176 KB Unknown         N/D                                                     0:00:15 N/D                                                                     
svchost.exe                   4456 Services                   0    24.544 KB Unknown         N/D                                                     0:00:04 N/D                                                                     
WUDFHost.exe                  4472 Services                   0    12.000 KB Unknown         N/D                                                     0:01:59 N/D                                                                     
hp-one-agent-service.exe      4624 Services                   0    35.544 KB Unknown         N/D                                                     0:00:03 N/D                                                                     
svchost.exe                   4644 Services                   0    20.128 KB Unknown         N/D                                                     0:00:03 N/D                                                                     
svchost.exe                   4680 Services                   0    57.588 KB Unknown         N/D                                                     0:00:06 N/D                                                                     
svchost.exe                   4924 Services                   0    21.516 KB Unknown         N/D                                                     0:00:20 N/D                                                                     
svchost.exe                   5016 Services                   0     9.544 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   4168 Services                   0    28.088 KB Unknown         N/D                                                     0:00:40 N/D                                                                     
svchost.exe                   5152 Services                   0     9.416 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   5308 Services                   0     8.404 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   5436 Services                   0    23.148 KB Unknown         N/D                                                     0:00:03 N/D                                                                     
svchost.exe                   5480 Services                   0    11.076 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   5508 Services                   0    20.052 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
spoolsv.exe                   5584 Services                   0    27.000 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
unsecapp.exe                  5716 Services                   0    10.260 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   5812 Services                   0     9.756 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
WmiPrvSE.exe                  5832 Services                   0    28.580 KB Unknown         N/D                                                     0:00:18 N/D                                                                     
armsvc.exe                    5948 Services                   0     7.428 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   5988 Services                   0    44.560 KB Unknown         N/D                                                     0:00:58 N/D                                                                     
OfficeClickToRun.exe          5996 Services                   0    57.096 KB Unknown         N/D                                                     0:00:04 N/D                                                                     
OneApp.IGCC.WinService.ex     6004 Services                   0    37.728 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                   6032 Services                   0    10.268 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
ETDService.exe                6056 Services                   0     7.752 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
IntelAudioService.exe         6080 Services                   0    29.256 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
ipf_uf.exe                    6108 Services                   0     7.476 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   6132 Services                   0    14.644 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
jhi_service.exe               3668 Services                   0     7.808 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
mullvad-daemon.exe            6252 Services                   0    23.900 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
mqsvc.exe                     6260 Services                   0    15.676 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
mysqld.exe                    6292 Services                   0    11.932 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
MpDefenderCoreService.exe     6300 Services                   0    24.344 KB Unknown         N/D                                                     0:00:02 N/D                                                                     
RtkAudUService64.exe          6380 Services                   0    18.348 KB Unknown         N/D                                                     0:00:02 N/D                                                                     
RtkBtManServ.exe              6388 Services                   0     7.832 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   6424 Services                   0    11.144 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   6436 Services                   0     6.920 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
MsMpEng.exe                   6464 Services                   0   320.088 KB Unknown         N/D                                                     0:15:08 N/D                                                                     
svchost.exe                   6488 Services                   0    25.564 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
WMIRegistrationService.ex     6500 Services                   0    14.052 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
wslservice.exe                6544 Services                   0    26.580 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   6700 Services                   0     9.264 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
ETDCtrl.exe                   6860 Console                    1    16.872 KB Running         PC_Ismael\Ismael NV                                     0:00:00 Configuraci�n de Mis programas                                          
mysqld.exe                    6932 Services                   0    67.292 KB Unknown         N/D                                                     0:01:28 N/D                                                                     
conhost.exe                   7292 Services                   0     9.148 KB Unknown         N/D                                                     0:00:04 N/D                                                                     
ipf_helper.exe                7064 Console                    1    11.784 KB Running         PC_Ismael\Ismael NV                                     0:00:16 N/D                                                                     
svchost.exe                   8684 Services                   0    26.512 KB Unknown         N/D                                                     0:00:20 N/D                                                                     
SearchIndexer.exe             8984 Services                   0    34.220 KB Unknown         N/D                                                     0:09:04 N/D                                                                     
sihost.exe                    8244 Console                    1    48.624 KB Running         PC_Ismael\Ismael NV                                     0:00:19 N/D                                                                     
svchost.exe                   5128 Console                    1    15.276 KB Unknown         PC_Ismael\Ismael NV                                     0:00:00 N/D                                                                     
svchost.exe                   8616 Console                    1    25.640 KB Unknown         PC_Ismael\Ismael NV                                     0:00:03 N/D                                                                     
svchost.exe                   2240 Console                    1     9.852 KB Unknown         PC_Ismael\Ismael NV                                     0:00:00 N/D                                                                     
svchost.exe                   2028 Console                    1    39.872 KB Running         PC_Ismael\Ismael NV                                     0:00:02 Windows Push Notifications Platform                                     
taskhostw.exe                 6068 Console                    1    21.772 KB Running         PC_Ismael\Ismael NV                                     0:00:03 Task Host Window                                                        
svchost.exe                   8952 Services                   0    21.836 KB Unknown         N/D                                                     0:00:11 N/D                                                                     
svchost.exe                   4308 Services                   0    15.676 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
explorer.exe                  9500 Console                    1   241.664 KB Running         PC_Ismael\Ismael NV                                     0:01:30 N/D                                                                     
svchost.exe                   9512 Services                   0    22.868 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
RtkAudUService64.exe          9632 Console                    1    17.736 KB Running         N/D                                                     0:00:03 RealtekAudioAdminBackgroundProcessClass                                 
svchost.exe                  10352 Console                    1    26.036 KB Running         PC_Ismael\Ismael NV                                     0:00:02 N/D                                                                     
svchost.exe                  10720 Services                   0    32.464 KB Unknown         N/D                                                     0:00:04 N/D                                                                     
